act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten,name_who_ordered
"№ 3689
 від 17.04.18",м. Кропивницький сквер «Слави»,48.50562,32.236309999999996,КП «Благоустрій» МРМК»,береза,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,м. Кропивницький сквер «Слави»,КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18",м. Кропивницький сквер «Слави»,48.50562,32.2382,КП «Благоустрій» МРМК»,тополя,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,м. Кропивницький сквер «Слави»,КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Карабінерна, 30",48.5071574,32.2762549,КП «Благоустрій» МРМК»,акація,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Карабінерна, 30",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Карабінерна, 30",48.5071574,32.2762549,КП «Благоустрій» МРМК»,акація,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Карабінерна, 30",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Карабінерна, 30",48.507159,32.276226199999996,КП «Благоустрій» МРМК»,липа,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Карабінерна, 30",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Карабінерна, 30",48.507159,32.276226199999996,КП «Благоустрій» МРМК»,липа,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Карабінерна, 30",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Віктора Чміленка, 71",48.50844,32.2695188,КП «Благоустрій» МРМК»,липа,2,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Віктора Чміленка, 71",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Вокзальна, 28",48.5156771,32.249782399999994,КП «Благоустрій» МРМК»,тополя,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Вокзальна, 28",деп. Розгачов Р.О.
"№ 3689
 від 17.04.18","м. Кропивницький вул. Вокзальна, 28",48.5156771,32.249782399999994,КП «Благоустрій» МРМК»,тополя,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Вокзальна, 28",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Преображенська, 8",48.5070946,32.264486,КП «Благоустрій» МРМК»,ялина,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Преображенська, 8",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Тараса Карпи, між № 60 та 62",48.507276700000006,32.2700974,КП «Благоустрій» МРМК»,клен,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Тараса Карпи, між № 60 та 62",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Юрія Олефіренка, 14-а",48.5170256,32.2568937,КП «Благоустрій» МРМК»,черешня,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Юрія Олефіренка, 14-а",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Короленка, 40",48.5372112,32.268194199999996,КП «Благоустрій» МРМК»,акація,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Короленка, 40",КП «Благоустрій» МРМК»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Гоголя, 85",48.50887,32.266999999999996,КП «Благоустрій» МРМК»,бузок (кущ),1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Гоголя, 85",КП «Благоустрій» МРМК»
"№ 3690
 від 25.04.18","м. Кропивницький вул. Миру, 17-а",48.525518,32.274996,КП «ЖЕО № 1» Міської ради міста Кропивницького,верба плакуча,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Миру, 17-а",КП «ЖЕО № 1» Міської ради міста Кропивницького
"№ 3690
 від 25.04.18","м. Кропивницький вул. Миру, 17-а",48.525563,32.2749211,КП «ЖЕО № 1» Міської ради міста Кропивницького,берест,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Миру, 17-а",КП «ЖЕО № 1» Міської ради міста Кропивницького
"№ 3691
 від 25.04.18","м. Кропивницький вул. Гоголя, 122-а (у дворі)",48.504412,32.274211,КП «ЖЕО № 3» Міської ради міста Кропивницького,шовковиця,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Гоголя, 122-а",КП «ЖЕО № 3» Міської ради міста Кропивницького
"№ 3692
 від 25.04.18","м. Кропивницький вул. Островського, 2, корп. 2 (з боку
 вул. Островського)",48.5082632,32.2599478,ПП Шмідт В.В.,тополя,3,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Островського, 2, корп. 2",ПП Шмідт В.В.
"№ 3693
 від 25.04.18","м. Кропивницький вул. Лінія, 10, буд. 56",48.473316,32.28334,КП «ЖЕК № 9» Міської ради міста Кропивницького,черешня,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Лінія, 10, буд. 56",КП «ЖЕК № 9» Міської ради міста Кропивницького
"№ 3693
 від 25.04.18","м. Кропивницький вул. Лінія, 1, буд. 3",48.473411,32.278786,КП «ЖЕК № 9» Міської ради міста Кропивницького,горіх,1,№ 1357/03-01-06 від 22.05.18,22.05.18,True,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Лінія, 1, буд. 3",КП «ЖЕК № 9» Міської ради міста Кропивницького
