adress,Latitude,Longitude
"Кропивницький,вул. Арсенія Тарковського, 14",48.5140703,32.276117
"Кропивницький,вул. Арсенія Тарковського, 16, корп. 1",48.5163432,32.278735
"Кропивницький,вул. Арсенія Тарковського, 16, корп. 3",48.51601489999999,32.2783387
"Кропивницький,вул. Арсенія Тарковського, 16, корп. 3",48.51601489999999,32.2783387
"Кропивницький,вул. Арсенія Тарковського, 16, корп. 4",48.5134805,32.2755984
"Кропивницький,вул. Арсенія Тарковського, 17",48.5134048,32.2755216
"Кропивницький,вул. Арсенія Тарковського, 18",48.513329,32.2754448
"Кропивницький,вул. Арсенія Тарковського, 2",48.516248,32.2783987
"Кропивницький,вул. Арсенія Тарковського, 23-а",48.513026,32.2751376
"Кропивницький,вул. Арсенія Тарковського, 24-а",48.5125004,32.2745138
"Кропивницький,вул. Арсенія Тарковського, 25",48.513026,32.2751376
"Кропивницький,вул. Арсенія Тарковського, 26",48.5125014,32.2745112
"Кропивницький,вул. Арсенія Тарковського, 3",48.51601489999999,32.2783387
"Кропивницький,вул. Арсенія Тарковського, 3",48.51601489999999,32.2783387
"Кропивницький,вул. Арсенія Тарковського, 33",48.50969689999999,32.2720696
"Кропивницький,вул. Арсенія Тарковського, 35",48.5095695,32.2719689
"Кропивницький,вул. Арсенія Тарковського, 36",48.5090845,32.2713444
"Кропивницький,вул. Арсенія Тарковського, 43-а",48.5084895,32.2709222
"Кропивницький,вул. Арсенія Тарковського, 50",48.5086422,32.2707457
"Кропивницький,вул. Арсенія Тарковського, 53",48.5076848,32.2701664
"Кропивницький,вул. Арсенія Тарковського, 6",48.51486209999999,32.2770042
"Кропивницький,вул. Арсенія Тарковського, 61",48.50658980000001,32.2689016
"Кропивницький,вул. Арсенія Тарковського, 61/96",48.50658980000001,32.2689016
"Кропивницький,вул. Арсенія Тарковського, 68",48.5057836,32.2680152
"Кропивницький,вул. Арсенія Тарковського, 73",48.5049753,32.2673631
"Кропивницький,вул. Арсенія Тарковського, 76",48.5049753,32.2673631
"Кропивницький,вул. Арсенія Тарковського, 80",48.50484549999999,32.2672423
"Кропивницький,вул. АрсеніяТарковського-Покровської",48.50793300000001,32.262317
"Кропивницький,вул. Архангельська, 14",48.5113783,32.2781215
"Кропивницький,вул. Архангельська, 19/43 (з боку вул. Гагаріна)",48.5076467,32.2745568
"Кропивницький,вул. Архангельська, 2",48.5131819,32.2792434
"Кропивницький,вул. Архангельська, 20/37",48.5106356,32.2773657
"Кропивницький,вул. Архангельська, 23",48.5097572,32.2770429
"Кропивницький,вул. Архангельська, 34",48.50923119999999,32.2760872
"Кропивницький,вул. Архангельська, 4",48.5124576,32.2787759
"Кропивницький,вул. Архангельська, 40-а",48.50797619999999,32.2747382
"Кропивницький,вул. Архангельська, 43",48.5103372,32.2775538
"Кропивницький,вул. Архангельська, 46",48.5068502,32.2736082
"Кропивницький,вул. Архангельська, 77",48.5034369,32.2708171
"Кропивницький,вул. Архіректора Паученка (громадський бюджет)",48.50793300000001,32.262317
"Кропивницький,вул. Архітектора Паученка, 109",48.50554,32.2809634
"Кропивницький,вул. Архітектора Паученка, 110",48.5052899,32.2816828
"Кропивницький,вул. Архітектора Паученка, 53/39",48.50940900000001,32.2706205
"Кропивницький,вул. Архітектора Паученка, 66",48.5079212,32.2737566
"Кропивницький,вул. Архітектора Паученка, 71/40",48.5077939,32.2745991
"Кропивницький,вул. Архітектора Паученка, 90",48.5059699,32.2783187
"Кропивницький,вул. Архітектора Паученка, 93",48.5062381,32.2777872
"Кропивницький,вул. Архітектора Паученка, 95",48.5062273,32.2781923
"Кропивницький,вул. Архітектора Паученка, 97",48.5062269,32.2785405
"Кропивницький,вул. Архітектора Паученка, 99",48.5061463,32.2788393
"Кропивницький,вул. Архітектора Паученка, біля поліклініки № 3",48.5081106,32.2735257
"Кропивницький,вул. Архітектора Паученка, між буд. № 65 та № 67",48.5081106,32.2735257
"Кропивницький,вул. Башкирська, 13",48.5180887,32.2808496
"Кропивницький,вул. Башкірська, 10",48.5157749,32.2799308
"Кропивницький,вул. Башкірська, 3-а",48.51826759999999,32.2812858
"Кропивницький,вул. Берегова, 1 (ЗОШ № 21)",48.536345,32.2354531
"Кропивницький,вул. Бережинська, 39",48.49569229999999,32.3024568
"Кропивницький,вул. Бєлінського, 2-б",48.5415882,32.2656566
"Кропивницький,вул. Бєляєва (біля Бєляєвського ставу)",48.5095658,32.2276211
"Кропивницький,вул. Бєляєва, 10, корп. 4",48.506208,32.229115
"Кропивницький,вул. Бєляєва, 11",48.5093212,32.2267924
"Кропивницький,вул. Бєляєва, 12",48.5056899,32.2283837
"Кропивницький,вул. Бєляєва, 13, корп. 1",48.5089014,32.2285502
"Кропивницький,вул. Бєляєва, 13, корп. 2",48.5081168,32.228956
"Кропивницький,вул. Бєляєва, 14, корп. 3",48.5048015,32.2281629
"Кропивницький,вул. Бєляєва, 15, корп. 1",48.5084786,32.2275378
"Кропивницький,вул. Бєляєва, 15, корп. 2",48.5084786,32.2275378
"Кропивницький,вул. Бєляєва, 21",48.5067247,32.2275797
"Кропивницький,вул. Бєляєва, 23 (ЗОШ ""Мрія"")",48.505544,32.227486
"Кропивницький,вул. Бєляєва, 23 ЗОШ № 9",48.50668140000001,32.2277193
"Кропивницький,вул. Бєляєва, 25, корп. 1",48.5049701,32.2269944
"Кропивницький,вул. Бєляєва, 25, корп. 2",48.5081168,32.228956
"Кропивницький,вул. Бєляєва, 27, корп. 1",48.5045708,32.2273484
"Кропивницький,вул. Бєляєва, 27, корп. 2",48.5045708,32.2273484
"Кропивницький,вул. Бєляєва, 29, корп. 1",48.5040674,32.2273828
"Кропивницький,вул. Бєляєва, 29, корп. 2",48.5081168,32.228956
"Кропивницький,вул. Бєляєва, 7, корп. 1",48.5103358,32.2275138
"Кропивницький,вул. Бєляєва, 7, корп. 2",48.5103358,32.2275138
"Кропивницький,вул. Бєляєва, 7, корп. 3",48.5103358,32.2275138
"Кропивницький,вул. Бєляєва, 8",48.5065444,32.2287125
"Кропивницький,вул. Бєляєва, 9",48.5097157,32.2265747
"Кропивницький,вул. Бобринецький шлях, 109",48.4804116,32.2717973
"Кропивницький,вул. Бобринецький шлях, 89",48.4841662,32.2703691
"Кропивницький,вул. Бобринецький шлях, навпроти буд. № 85",48.479737,32.2718571
"Кропивницький,вул. Бобринецький шлях, навпроти буд. № 99",48.479737,32.2718571
"Кропивницький,вул. Богдана Хмельницького, 121",48.5570912,32.2262523
"Кропивницький,вул. Богдана Хмельницького, 146",48.5588284,32.2241796
"Кропивницький,вул. Богдана Хмельницького, 181",48.56254570000001,32.2178989
"Кропивницький,вул. Богдана Хмельницького, 76",48.5523673,32.2315368
"Кропивницький,вул. Богдана Хмельницького, 80",48.5529831,32.2314481
"Кропивницький,вул. Богдана Хмельницького, 82",48.5532562,32.2313408
"Кропивницький,вул. Братиславська, 38",48.5274669,32.2619342
"Кропивницький,вул. Братиславська, 9",48.52752479999999,32.2604266
"Кропивницький,вул. Братиславська, 9-а",48.498641,32.213214
"Кропивницький,вул. Братиславська, 9-б",48.5279304,32.2593424
"Кропивницький,вул. Братиславська, 9-в",48.52752479999999,32.2604266
"Кропивницький,вул. Братиславська, 9-г",48.52752479999999,32.2604266
"Кропивницький,вул. Братиславська, 9-д",48.52752479999999,32.2604266
"Кропивницький,вул. Братиславська, 92",48.5331238,32.2431
"Кропивницький,вул. Брестська, 3-а",48.56292759999999,32.2269637
"Кропивницький,вул. Будівельників, 1-а",48.5617847,32.2412715
"Кропивницький,вул. Буровугільна, 40",48.5271566,32.2310584
"Кропивницький,вул. В. Перспективна, 10",48.5157928,32.2719192
"Кропивницький,вул. В. Перспективна, 47/16",48.50645799999999,32.2640232
"Кропивницький,вул. В'ячеслава Чорновола, 1",48.5130285,32.2650752
"Кропивницький,вул. В'ячеслава Чорновола, 1",48.5130285,32.2650752
"Кропивницький,вул. В'ячеслава Чорновола, 14/2",48.51422729999999,32.2678498
"Кропивницький,вул. В'ячеслава Чорновола, 4",48.5160086,32.269321
"Кропивницький,вул. Вадима Височина, 4",48.5349766,32.26785220000001
"Кропивницький,вул. Вадима Височина, 50/32",48.5309959,32.2639102
"Кропивницький,вул. Валенти ни Терешкової, 138",48.5227019,32.2331405
"Кропивницький,вул. Валентини Терешкової, 105/14",48.519444,32.2383302
"Кропивницький,вул. Валентини Терешкової, 121",48.5201705,32.2369824
"Кропивницький,вул. Валентини Терешкової, 136",48.5227871,32.2330028
"Кропивницький,вул. Вантажний двір, 28",48.50793300000001,32.262317
"Кропивницький,вул. Варшавська, 2",48.5297054,32.2727558
"Кропивницький,вул. Варшавська, 2-б",48.5287951,32.2747226
"Кропивницький,вул. Василина, 5",48.5173465,32.2781814
"Кропивницький,вул. Василини, 12",48.5166552,32.2782337
"Кропивницький,вул. Василя Нікітіна (Червонозорівська), 22/10",48.528471,32.2715945
"Кропивницький,вул. Василя Нікітіна, 15, корп. 2",48.530209,32.274539
"Кропивницький,вул. Василя Нікітіна, 21-б",48.5282005,32.2724506
"Кропивницький,вул. Василя Нікітіна, 40",48.5297973,32.2727571
"Кропивницький,вул. Васнецова, 3",48.5193482,32.288723
"Кропивницький,вул. Васнецова, 3 ДНЗ № 43",48.5190779,32.2885334
"Кропивницький,вул. Велика  Перспективна (парк ""Молодіжний"")",48.5116132,32.2683835
"Кропивницький,вул. Велика Пермська (навапроти маг. ""Молоток""",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська (хлібзавод)",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 14",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 16",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 18",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 20",48.5116132,32.2683835
"Кропивницький,вул. Велика Пермська, 29",48.5116132,32.2683835
"Кропивницький,вул. Велика Пермська, 3",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 30",48.5116132,32.2683835
"Кропивницький,вул. Велика Пермська, 67",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 7",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 74",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 76",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 78",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 82",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 9",48.50793300000001,32.262317
"Кропивницький,вул. Велика Пермська, 90",48.50793300000001,32.262317
"Кропивницький,вул. Велика Перспективна (біля маг. ""Сільпо"")",48.5056303,32.2634006
"Кропивницький,вул. Велика Перспективна (біля спортивної школи)",48.5116132,32.2683835
"Кропивницький,вул. Велика Перспективна біля маг. Ельдорадо",48.50544679999999,32.2635829
"Кропивницький,вул. Велика Перспективна-Гоголя",48.5116132,32.2683835
"Кропивницький,вул. Велика Перспективна, 1",48.5177932,32.2748112
"Кропивницький,вул. Велика Перспективна, 1-б",48.51727270000001,32.2753606
"Кропивницький,вул. Велика Перспективна, 10-а",48.5160469,32.2720313
"Кропивницький,вул. Велика Перспективна, 11/11, корп. 6",48.5153257,32.2721254
"Кропивницький,вул. Велика Перспективна, 11/11, корп. 7",48.5153257,32.2721254
"Кропивницький,вул. Велика Перспективна, 16/9",48.5148672,32.2710875
"Кропивницький,вул. Велика Перспективна, 20",48.51440729999999,32.269707
"Кропивницький,вул. Велика Перспективна, 23/13",48.5120661,32.2691893
"Кропивницький,вул. Велика Перспективна, 24",48.5133873,32.2692801
"Кропивницький,вул. Велика Перспективна, 24",48.5133873,32.2692801
"Кропивницький,вул. Велика Перспективна, 32/11",48.5123602,32.2688063
"Кропивницький,вул. Велика Перспективна, 34",48.511767,32.2683049
"Кропивницький,вул. Велика Перспективна, 36",48.5110756,32.2676262
"Кропивницький,вул. Велика Перспективна, 47/16",48.50645799999999,32.2640232
"Кропивницький,вул. Велика Перспективна, 47/16",48.50645799999999,32.2640232
"Кропивницький,вул. Велика Перспективна, 47/16",48.50645799999999,32.2640232
"Кропивницький,вул. Велика Перспективна, 53",48.5053972,32.2636578
"Кропивницький,вул. Велика Перспективна, 53/39",48.505545,32.26365
"Кропивницький,вул. Велика Перспективна, 55 (біля налогової інспекції)",48.5116132,32.2683835
"Кропивницький,вул. Велика Перспективна, 6/3",48.5171536,32.2732397
"Кропивницький,вул. Велика Перспективна, 60",48.505989,32.2630571
"Кропивницький,вул. Велика Перспективна, 65-а",48.5060546,32.264022
"Кропивницький,вул. Велика Перспективна, 7",48.5161166,32.2728668
"Кропивницький,вул. Велика Перспективна, 78 (біля обленерго)",48.50341419999999,32.2596024
"Кропивницький,вул. Велика Перспективна, 8",48.5165594,32.2726349
"Кропивницький,вул. Велика Перспективна, 9",48.5156314,32.2728173
"Кропивницький,вул. Велика Перспективна, 9",48.5156314,32.2728173
"Кропивницький,вул. Верхня Биковська, 25/14",50.4225348,30.54995
"Кропивницький,вул. Верхня Биковська, 36",48.4850627,32.2379246
"Кропивницький,вул. Верхня Биковська, 39",48.4850627,32.2379246
"Кропивницький,вул. Верхня Биковська, 60",48.4850627,32.2379246
"Кропивницький,вул. Верхня Биковська, 75",48.4850627,32.2379246
"Кропивницький,вул. Верхня Пермська, 15",48.49864230000001,32.2660014
"Кропивницький,вул. Верхня Пермська, 46",48.4982761,32.2658598
"Кропивницький,вул. Верхня Пермська, 84/2",48.49489560000001,32.2693559
"Кропивницький,вул. Віктора Чміленка навпроти буд № 48",48.5095697,32.2664962
"Кропивницький,вул. Віктора Чміленка, 109-а",48.5053701,32.2768368
"Кропивницький,вул. Віктора Чміленка, 114",48.5066485,32.2731055
"Кропивницький,вул. Віктора Чміленка, 31",48.5150228,32.2533717
"Кропивницький,вул. Віктора Чміленка, 67",48.5091408,32.2687992
"Кропивницький,вул. Віктора Чміленка, 71",48.5084563,32.2695942
"Кропивницький,вул. Віктора Чміленка, 71",48.5084563,32.2695942
"Кропивницький,вул. Віктора Чміленка, 85",48.5075642,32.2716771
"Кропивницький,вул. Віктора Чміленка, 88",48.50914299999999,32.2673599
"Кропивницький,вул. Віктора Чміленка, 88",48.50914299999999,32.2673599
"Кропивницький,вул. Віктора Чміленка, 94",48.5083714,32.2690317
"Кропивницький,вул. Віктора Чміленка, 95",48.5065914,32.2742256
"Кропивницький,вул. Віктора Чміленка, 97",48.5063906,32.2747272
"Кропивницький,вул. Водоп'янова, 38",48.4922359,32.2872821
"Кропивницький,вул. Водоп'янова, 73",48.4892998,32.2827304
"Кропивницький,вул. Вознесенська (Свердлова), 74",48.50793300000001,32.262317
"Кропивницький,вул. Вознесенська (Свердлова), 94",48.50793300000001,32.262317
"Кропивницький,вул. Вокзальна (біля маг. ""АТБ"")",48.5031498,32.2380467
"Кропивницький,вул. Вокзальна, 11",48.5220837,32.2582676
"Кропивницький,вул. Вокзальна, 18, корп. 2",48.523003,32.258641
"Кропивницький,вул. Вокзальна, 28",48.5156196,32.2497824
"Кропивницький,вул. Вокзальна, 31",48.5188114,32.2547405
"Кропивницький,вул. Вокзальна, 4",48.5228307,32.2583848
"Кропивницький,вул. Вокзальна, 6",48.5220806,32.2575822
"Кропивницький,вул. Вокзальна, 66-а",48.5061838,32.2412693
"Кропивницький,вул. Вокзальна, 72",48.5038742,32.2386366
"Кропивницький,вул. Волкова 26 корп. 2",48.5128496,32.2250155
"Кропивницький,вул. Волкова біля ЗОШ № 19",48.50117299999999,32.2218192
"Кропивницький,вул. Волкова біля контейнерного майданчика",48.50483670000001,32.2225568
"Кропивницький,вул. Волкова навпроти буд. № 9",48.50483670000001,32.2225568
"Кропивницький,вул. Волкова перед входом в Дендропарк",48.50483670000001,32.2225568
"Кропивницький,вул. Волкова, 10, корп. 4",48.5103273,32.2242849
"Кропивницький,вул. Волкова, 11, корп. 1",48.5006044,32.2207138
"Кропивницький,вул. Волкова, 11, корп. 2",48.5006044,32.2207138
"Кропивницький,вул. Волкова, 12",48.5096708,32.225118
"Кропивницький,вул. Волкова, 14, корп. 1",48.50765879999999,32.2234158
"Кропивницький,вул. Волкова, 14, корп. 1",48.50765879999999,32.2234158
"Кропивницький,вул. Волкова, 16 корп. 2",48.5128496,32.2250155
"Кропивницький,вул. Волкова, 16, корп.1",48.5004976,32.2224746
"Кропивницький,вул. Волкова, 18, корп. 1",48.5058691,32.2228973
"Кропивницький,вул. Волкова, 18, корп. 2",48.5128496,32.2250155
"Кропивницький,вул. Волкова, 18, корп. 2",48.5128496,32.2250155
"Кропивницький,вул. Волкова, 2",48.512969,32.2243137
"Кропивницький,вул. Волкова, 2 (ДНЗ № 71)",48.5110541,32.2265341
"Кропивницький,вул. Волкова, 20",48.504847,32.224341
"Кропивницький,вул. Волкова, 20 корп. 2",48.5128496,32.2250155
"Кропивницький,вул. Волкова, 20, корп. 1",48.50509419999999,32.2226422
"Кропивницький,вул. Волкова, 24 (ЗОШ № 19)",48.501094,32.222218
"Кропивницький,вул. Волкова, 24-в",48.5010863,32.2222336
"Кропивницький,вул. Волкова, 26-а (ЗОШ №19)",48.50117299999999,32.2218192
"Кропивницький,вул. Волкова, 26, корп. 1",48.4980467,32.2224389
"Кропивницький,вул. Волкова, 26, корп. 1",48.4980467,32.2224389
"Кропивницький,вул. Волкова, 26, корп. 2",48.5128496,32.2250155
"Кропивницький,вул. Волкова, 28, корп .4",48.49917689999999,32.2248054
"Кропивницький,вул. Волкова, 28, корп. 1",48.49917689999999,32.2248054
"Кропивницький,вул. Волкова, 28, корп. 2",48.5128496,32.2250155
"Кропивницький,вул. Волкова, 28, корп. 3",48.49917689999999,32.2248054
"Кропивницький,вул. Волкова, 28, корп. 5",48.49917689999999,32.2248054
"Кропивницький,вул. Волкова, 28, корп. 5",48.49917689999999,32.2248054
"Кропивницький,вул. Волкова, 3",48.508526,32.225522
"Кропивницький,вул. Волкова, 3-в (навпроти автостоянки)",48.50483670000001,32.2225568
"Кропивницький,вул. Волкова, 30",48.4968914,32.2237509
"Кропивницький,вул. Волкова, 6, корп. 2",48.5128496,32.2250155
"Кропивницький,вул. Волкова, 8, корп. 1",48.51104309999999,32.2233632
"Кропивницький,вул. Волкова, 9, корп. 1",48.5014697,32.2204513
"Кропивницький,вул. Волкова, 9, корп. 3",48.5014697,32.2204513
"Кропивницький,вул. Волкова, біля автостоянки",48.50483670000001,32.2225568
"Кропивницький,вул. Волкова, біля ЗОШ № 19",48.50117299999999,32.2218192
"Кропивницький,вул. Волкова, біля обласної лікарні)",48.5057199,32.2196508
"Кропивницький,вул. Волкова, навпроти буд. № 3",48.50483670000001,32.2225568
"Кропивницький,вул. Волкова, навпроти буд. № 5",48.50483670000001,32.2225568
"Кропивницький,вул. Волкова, навпроти буд. № 7",48.50483670000001,32.2225568
"Кропивницький,вул. Волкова, навпроти обласної лікарні",48.5057199,32.2196508
"Кропивницький,вул. Волкова, навпроти транспортних воріт обласної лікарні",48.5057199,32.2196508
"Кропивницький,вул. Володарського, 14",48.51398649999999,32.2759123
"Кропивницький,вул. Володарського/Гоголя",48.507479,32.266769
"Кропивницький,вул. Володимирська, 52/20",48.5324381,32.2696986
"Кропивницький,вул. Володимирська, 54/35",48.5318615,32.2696277
"Кропивницький,вул. Володимирська, 69",48.52881499999999,32.2665279
"Кропивницький,вул. Володимирська, 73",48.5284747,32.2661895
"Кропивницький,вул. Володимирська,41/16",48.5313807,32.2687281
"Кропивницький,вул. Володі Дубініна, 9",48.4733059,32.3024684
"Кропивницький,вул. Воровського, 44/9",48.5330812,32.2736235
"Кропивницький,вул. Воровського, 46",48.5301317,32.2702487
"Кропивницький,вул. Вячеслава Чорновола, 1-б",48.5160568,32.2701399
"Кропивницький,вул. Вячеслава Чорновола, 5",48.5153833,32.26951
"Кропивницький,вул. Вячеслава Чорновола, 5/3",48.5153833,32.26951
"Кропивницький,вул. Вячеслава Чорновола, 6/1",48.5156011,32.268954
"Кропивницький,вул. Г Сталінграда, 12 корп. 1",48.4937557,32.2153451
"Кропивницький,вул. Г Сталінграда, 12 корп. 2",48.4937557,32.2153451
"Кропивницький,вул. Г Сталінграда, 12 корп. 2",48.4937557,32.2153451
"Кропивницький,вул. Г Сталінграда, 12 корп. 5",48.4937557,32.2153451
"Кропивницький,вул. Габдрахманова, 16",48.5038223,32.2503101
"Кропивницький,вул. Габдрахманова, 31",48.5064494,32.243688
"Кропивницький,вул. Габдрахманова, 61",48.5085434,32.2390842
"Кропивницький,вул. Гагаріна, 10",48.5129894,32.271355
"Кропивницький,вул. Гагаріна, 12",48.5127963,32.2710272
"Кропивницький,вул. Гагаріна, 12",48.5127963,32.2710272
"Кропивницький,вул. Гагаріна, 12",48.5127963,32.2710272
